name,dir,file1,file2,result,timeout,conflict,tree_difference,interp_error,out_of_bounds,time_interp_file1,time_interp_file2,time_equivalence,time_elapsed,num_stmts_file1,num_stmts_file2,num_tasks_file1,num_tasks_file2,command
covariance,llvm23-affine-loop-inv-code-motion,generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c,pact26-mini-initial-exp/llvm23-affine-loop-inv-code-motion/translated/covariance-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.152504,0.346600,0.009458,0.54,47630,118848,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/covariance-interp.c pact26-mini-initial-exp/llvm23-affine-loop-inv-code-motion/translated/covariance-8-translated-noasyncepilogue.c ""data,cov,mean"""
atax,llvm23-affine-loop-inv-code-motion,generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c,pact26-mini-initial-exp/llvm23-affine-loop-inv-code-motion/translated/atax-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.029677,0.064275,0.002454,0.13,9993,24408,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/atax-interp.c pact26-mini-initial-exp/llvm23-affine-loop-inv-code-motion/translated/atax-8-translated-noasyncepilogue.c ""A,x,y,tmp"""
gramschmidt,llvm23-affine-loop-inv-code-motion,generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c,pact26-mini-initial-exp/llvm23-affine-loop-inv-code-motion/translated/gramschmidt-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.195051,0.414056,0.012167,0.64,59167,141636,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/gramschmidt-interp.c pact26-mini-initial-exp/llvm23-affine-loop-inv-code-motion/translated/gramschmidt-8-translated-noasyncepilogue.c ""A,R,Q"""
syr2k,llvm23-affine-loop-inv-code-motion,generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c,pact26-mini-initial-exp/llvm23-affine-loop-inv-code-motion/translated/syr2k-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.174707,0.356756,0.019017,0.57,31902,118373,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syr2k-interp.c pact26-mini-initial-exp/llvm23-affine-loop-inv-code-motion/translated/syr2k-8-translated-noasyncepilogue.c ""A,B,C"""
lu,llvm23-affine-loop-inv-code-motion,generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c,pact26-mini-initial-exp/llvm23-affine-loop-inv-code-motion/translated/lu-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.268797,0.522486,0.013838,0.83,69052,174102,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/lu-interp.c pact26-mini-initial-exp/llvm23-affine-loop-inv-code-motion/translated/lu-8-translated-noasyncepilogue.c ""A"""
jacobi-1d,llvm23-affine-loop-inv-code-motion,generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c,pact26-mini-initial-exp/llvm23-affine-loop-inv-code-motion/translated/jacobi-1d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.016332,0.032227,0.001065,0.07,3497,12471,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/jacobi-1d-interp.c pact26-mini-initial-exp/llvm23-affine-loop-inv-code-motion/translated/jacobi-1d-8-translated-noasyncepilogue.c ""A,B"""
floyd-warshall,llvm23-affine-loop-inv-code-motion,generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c,pact26-mini-initial-exp/llvm23-affine-loop-inv-code-motion/translated/floyd-warshall-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,3.277067,5.889931,0.286852,9.5,662652,1958662,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/floyd-warshall-interp.c pact26-mini-initial-exp/llvm23-affine-loop-inv-code-motion/translated/floyd-warshall-8-translated-noasyncepilogue.c ""path"""
cholesky,llvm23-affine-loop-inv-code-motion,generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c,pact26-mini-initial-exp/llvm23-affine-loop-inv-code-motion/translated/cholesky-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.129713,0.283011,0.007455,0.45,36172,91122,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/cholesky-interp.c pact26-mini-initial-exp/llvm23-affine-loop-inv-code-motion/translated/cholesky-8-translated-noasyncepilogue.c ""A"""
syrk,llvm23-affine-loop-inv-code-motion,generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c,pact26-mini-initial-exp/llvm23-affine-loop-inv-code-motion/translated/syrk-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.113286,0.206099,0.008792,0.36,31899,71870,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/syrk-interp.c pact26-mini-initial-exp/llvm23-affine-loop-inv-code-motion/translated/syrk-8-translated-noasyncepilogue.c ""A,C"""
trmm,llvm23-affine-loop-inv-code-motion,generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c,pact26-mini-initial-exp/llvm23-affine-loop-inv-code-motion/translated/trmm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,0.066040,0.151905,0.003958,0.24,20201,50512,1,3,"/usr/bin/time -v pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-mini-dataset-use-scalar-lb/interp/trmm-interp.c pact26-mini-initial-exp/llvm23-affine-loop-inv-code-motion/translated/trmm-8-translated-noasyncepilogue.c ""A,B"""
